px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	yaw_angle	yaw_rate	NIS
0.312243	0.58034	0	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	0	0.00691132	0
0.717457	0.55252	6.88033	2.16882e-17	-9.98002e-18	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	0.000345566	0.0138215	73.9239
1.16254	0.491222	6.87988	-0.0167871	-0.0046914	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.00103664	0.0207296	0.131025
1.29723	0.51163	6.88193	0.152924	0.0455751	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	0.00207312	0.0276344	1.91621
1.62677	0.573331	6.88317	0.289101	0.0761578	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.00345484	0.0345348	0.278107
1.83849	0.587244	6.86153	0.0129632	0.0241864	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	0.00518158	0.0414297	0.874177
2.18215	0.617807	6.87044	0.0650191	0.0558496	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.00725307	0.0483182	0.0846333
2.36782	0.645403	5.61354	0.101433	-0.16026	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	0.00966898	0.0551989	8.73508
2.6474	0.670221	5.6177	0.0908032	-0.170782	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.0124289	0.062071	0.00476811
2.91216	0.66134	5.50226	0.0369858	-0.375867	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.0155325	0.0689333	0.584069
3.14562	0.659413	5.45884	0.0209057	-0.330605	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	0.0189791	0.0757847	1.05072
3.43474	0.55067	5.50205	-0.151017	-0.884528	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	0.0227684	0.0826241	1.67806
3.74217	0.433687	5.58072	-0.293314	-1.21024	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	0.0268996	0.0894504	2.32417
4.01977	0.519888	5.54184	-0.135848	-0.559997	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	0.0313721	0.0962627	3.94188
4.29421	0.511713	5.52627	-0.130384	-0.475205	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.0361852	0.10306	0.309314
4.55326	0.547747	5.44559	-0.0894813	-0.331574	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	0.0413382	0.10984	1.88491
4.73785	0.661353	5.27772	0.0276483	-0.0282039	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	0.0468302	0.116604	12.0898
4.99032	0.659157	5.22494	0.0138535	-0.0585066	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	0.0526604	0.123349	2.0169
5.29456	0.652824	5.28091	-6.54225e-05	-0.0828824	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	0.0588279	0.130074	2.68174
5.55216	0.660912	5.29118	0.00570539	-0.0619065	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	0.0653316	0.136779	1.60461
5.84749	0.675298	5.32673	0.0105911	-0.0496408	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	0.0721706	0.143463	1.66934
6.09277	0.596287	5.2813	-0.0516705	-0.150068	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	0.0793437	0.150124	3.89188
6.34865	0.713693	5.26126	0.0288691	-0.0129656	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	0.0868499	0.156761	3.84091
6.60025	0.744271	5.23213	0.041767	0.00611575	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305	0.0946879	0.163373	0.768226
6.84983	0.741844	5.22034	0.0343369	-0.00469456	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	0.102857	0.169959	0.28793
7.09683	0.721299	5.17165	0.0143092	-0.0343364	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269	0.111355	0.176519	3.67711
7.32013	0.807472	5.13274	0.060288	0.0295964	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123	0.120181	0.183051	3.31378
7.60823	0.818961	5.18733	0.059748	0.0275811	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	0.129333	0.189554	3.79797
7.85953	0.796778	5.17927	0.041258	0.00259899	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	0.138811	0.196027	0.546118
8.11263	0.812131	5.15002	0.0424346	0.00245662	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	0.148612	0.202468	2.76512
8.35225	0.830357	5.13219	0.0466865	0.00763325	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.158735	0.208879	0.570869
8.61608	0.918124	5.16795	0.085749	0.0555042	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	0.169179	0.215255	6.65945
8.85409	0.977286	5.14973	0.106834	0.0774401	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0.179942	0.221599	0.951257
9.13982	1.01471	5.18563	0.114379	0.0814658	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	0.191022	0.227907	6.60177
9.37769	1.04844	5.16616	0.120824	0.0844978	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0.202417	0.234179	0.765071
9.65332	1.11874	5.19667	0.142367	0.104557	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	0.214126	0.240414	4.54752
9.92342	1.24569	5.21814	0.188206	0.151842	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	0.226147	0.246611	3.34761
10.176	1.3328	5.19803	0.213993	0.17453	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	0.238478	0.252769	4.8027
10.4036	1.41521	5.1755	0.235989	0.190619	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	0.251116	0.258887	1.37194
10.6419	1.49968	5.13632	0.258879	0.209516	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298	0.26406	0.264964	4.60564
10.8713	1.53514	5.11271	0.256543	0.195071	10.7313	1.45265	10.853	1.56549	4.90794	1.39701	0.277309	0.271	1.40229
11.134	1.58611	5.12914	0.258026	0.184534	11.4783	1.42876	11.0979	1.637	4.8844	1.46213	0.290859	0.276993	1.60709
11.4101	1.63448	5.15387	0.256789	0.171465	11.587	1.61462	11.3416	1.71179	4.85948	1.52832	0.304708	0.282942	1.65016
11.6449	1.69355	5.12636	0.264303	0.171878	11.4763	1.53917	11.584	1.78992	4.83313	1.59551	0.318855	0.288846	1.14464
11.877	1.76036	5.11161	0.273747	0.173271	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366	0.333298	0.294705	0.50317
12.1289	1.84764	5.13335	0.288397	0.178843	12.136	2.14937	12.0647	1.95639	4.77598	1.73273	0.348033	0.300517	1.19661
12.3723	1.88	5.12041	0.279108	0.157523	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265	0.363059	0.306282	0.706569
12.625	1.93942	5.13674	0.279681	0.147207	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338	0.378373	0.311998	0.900491
12.8271	2.07389	5.11136	0.319457	0.186181	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485	0.393973	0.317665	3.64632
13.0871	2.17543	5.15535	0.333067	0.187513	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701	0.409856	0.323282	3.61231
13.2907	2.31745	5.13484	0.371908	0.222815	13.0875	2.40708	13.2388	2.43409	4.605	2.08981	0.42602	0.328848	2.77261
13.4789	2.46458	5.07993	0.416422	0.268133	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	0.442462	0.334362	11.1869
