px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.312243	0.58034	0	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	2.37152e-321
0.717457	0.55252	6.88033	2.16882e-17	-9.98002e-18	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	2.37152e-321
1.17444	0.483531	6.87827	-0.00834117	-0.00412218	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	2.37152e-321
1.5841	0.379002	6.83931	-0.0488755	-0.0824052	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	2.37152e-321
1.95703	0.620899	6.15122	0.296372	-0.136659	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	2.37152e-321
2.93383	0.894342	5.37862	0.226616	-0.0700364	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	2.37152e-321
2.85602	0.810475	4.05334	0.209534	0.0729014	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	2.37152e-321
3.90956	1.09788	4.12296	0.281966	0.149612	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	2.37152e-321
3.59435	0.985152	2.16176	0.321671	0.169639	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	2.37152e-321
4.78011	1.12409	3.31146	0.127467	-0.161781	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	2.37152e-321
3.93005	0.748468	0.958552	-0.064296	-0.328357	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	2.37152e-321
5.14786	0.731292	2.99782	0.195071	0.272805	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	2.37152e-321
4.37177	0.465733	1.23074	0.260051	0.262535	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	2.37152e-321
5.86407	0.918372	3.36156	0.0833103	-0.283753	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	2.37152e-321
4.6514	0.57335	1.68637	-0.310388	-0.479782	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	2.37152e-321
6.32155	0.74814	2.48177	1.00915	1.52452	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	2.37152e-321
4.41886	1.06279	1.09166	-2.6668	2.57086	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	2.37152e-321
4.99428	0.29331	2.62947	2.02176	4.75431	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	2.37152e-321
5.44324	0.529875	2.44121	1.03531	5.38046	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	2.37152e-321
5.15593	0.498087	3.80037	-0.0692061	5.53793	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	2.37152e-321
5.95994	0.706371	4.05345	0.471816	5.34228	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	2.37152e-321
5.84443	0.407408	4.50747	0.511107	5.69675	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	2.37152e-321
6.30175	0.918585	4.92855	0.897273	6.151	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	2.37152e-321
6.58936	0.891484	5.56272	0.423348	5.14315	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305	2.37152e-321
6.7674	0.724564	5.69081	0.722094	5.46104	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	2.37152e-321
